Nivel,Entidad,Tipo,Programa,Subprograma,Proyecto,Objeto,Pais,Departamento,Fuente,Organismo,VerJustifica,VerProgramado,Fila,Anho,version
12,1,1,1,0,0,145,1,99,10,1,"HONORARIOS PROFESIONALES PARA EL PERSONAL CONTRATADO PROFESIONAL DE LA PRESIDENCIA DE LA REPUBLICA",2217373800,867,2016,6
12,1,1,1,0,0,191,1,99,10,1,"SUBSIDIO PARA LA SALUD PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",28800000,868,2016,6
12,1,1,1,0,0,210,1,99,10,1,"SERVICIOS BASICOS (AGUA, LUZ Y TELEFONO) PARA LA PRESIDENCIA DE LA REPUBLICA",4000000000,869,2016,6
12,1,1,1,0,0,220,1,99,10,1,"TRANSPORTE Y ALMACENAJE PARA LA PRESIDENCIA DE LA REPUBLICA",660000000,870,2016,6
12,1,1,1,0,0,230,1,99,10,1,"PASAJES Y VIATICOS PARA EL SEÑOR PRESIDENTE DE LA REPUBLICA Y COMITIVA PARA EVENTOS OFICIALES",9471916628,905,2016,6
12,1,1,1,0,0,240,1,99,10,1,"GASTOS POR SERVICIO DE ASEO, MANTENIMIENTO Y REPARACIONES PARA LA PRESIDENCIA DE LA REPUBLICA",7262200000,871,2016,6
12,1,1,1,0,0,240,1,99,30,1,"GASTOS DE MANTENIMIENTO PARA LA GACETA OFICIAL",258000000,584,2016,6
12,1,1,1,0,0,250,1,99,10,1,"ALQUILERES Y DERECHOS PARA LA PRESIDENCIA DE LA REPUBLICA",792000000,30,2016,6
12,1,1,1,0,0,260,1,99,10,1,"SERVICIOS TECNICOS Y PROFESIONALES PARA LA PRESIDENCIA DE LA REPUBLICA",51312884562,31,2016,6
12,1,1,1,0,0,260,1,99,30,1,"SERVICIOS TECNICOS PARA LA GACETA OFICIAL",322000000,586,2016,6
12,1,1,1,0,0,280,1,99,10,1,"OTROS SERVICIOS EN GENERAL PARA LA PRESIDENCIA DE LA REPUBLICA",7244693666,32,2016,6
12,1,1,1,0,0,290,1,99,10,1,"SERVICIOS DE CAPACITACION Y ADIESTRAMIENTO PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",380000000,36,2016,6
12,1,1,1,0,0,310,1,99,10,1,"PRODUCTOS ALIMENTICIOS PARA PRESIDENCIA DE LA REPUBLICA",2638376000,37,2016,6
12,1,1,1,0,0,320,1,99,10,1,"TEXTILES Y VESTUARIOS PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",506163014,38,2016,6
12,1,1,1,0,0,330,1,99,10,1,"PRODUCTOS DE PAPEL, CARTON E IMPRESOS PARA LA PRESIDENCIA DE LA REPUBLICA",1336510000,39,2016,6
12,1,1,1,0,0,340,1,99,10,1,"BIENES DE CONSUMO DE OFICINAS E INSUMOS PARA LA PRESIDENCIA DE LA REPUBLICA",771360230,40,2016,6
12,1,1,1,0,0,350,1,99,10,1,"PRODUCTOS E INSTRUMENTOS QUIMICOS Y MEDICINALES PARA LA PRESIDENCIA DE LA REPUBLICA",119460000,41,2016,6
12,1,1,1,0,0,360,1,99,10,1,"COMBUSTIBLES Y LUBRICANTES PARA LA PRESIDENCIA DE LA REPUBLICA",7196076000,42,2016,6
12,1,1,1,0,0,390,1,99,10,1,"OTROS BIENES DE CONSUMO PARA LA PRESIDENCIA DE LA REPUBLICA",288510000,43,2016,6
12,1,1,1,0,0,530,1,99,10,1,"ADQUISICIONES DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS EN GENERAL PARA LA PRESIDENCIA DE LA REPUBLICA",174000000,44,2016,6
12,1,1,1,0,0,540,1,99,10,1,"ADQUISICIONES DE EQUIPOS DE OFICINA Y COMPUTACION PARA LA PRESIDENCIA DE LA REPUBLICA",780663332,45,2016,6
12,1,1,1,0,0,570,1,99,10,1,"ADQUISICION DE ACTIVOS INTANGIBLES PARA LA PRESIDENCIA DE LA REPUBLICA",0,46,2016,6
12,1,1,1,0,0,811,1,99,30,124,TRANSFERENCIA,57172917132,789,2016,6
12,1,1,1,0,0,811,1,99,10,124,TRANSFERENCIA,20100000000,718,2016,6
12,1,1,1,0,0,845,1,99,10,1,"INDEMNIZACIONES PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",0,47,2016,6
12,1,1,1,0,0,849,1,99,10,1,"OTRAS TRANSFERENCIAS CORRIENTES PARA LA PRESIDENCIA DE LA REPUBLICA",200646000,48,2016,6
12,1,1,1,0,0,861,1,99,30,124,TRANSFERENCIA,1170000000,788,2016,6
12,1,1,1,0,0,910,1,99,10,1,"PAGO DE IMPUESTOS, TASAS, GASTOS JUDICIALES Y OTROS PARA LA PRESIDENCIA DE LA REPUBLICA",140000000,49,2016,6
12,1,1,1,0,0,970,1,99,10,1,"GASTOS RESERVADOS PARA LA PRESIDENCIA DE LA REPUBLICA",2500000000,50,2016,6
12,1,1,2,0,0,111,1,99,10,1,,157200000,183,2016,6
12,1,1,2,0,0,113,1,99,10,1,*,34214400,207,2016,6
12,1,1,2,0,0,114,1,99,10,1,,76451200,679,2016,6
12,1,1,2,0,0,123,1,99,10,1,"REMUNERACIÓN EXTRAORDINARIA PARA FUNCIONARIOS DEL GABINETE SOCIAL",99887104,59,2016,6
12,1,1,2,0,0,133,1,99,10,1,"BONIFICACIONES Y GRATIFICACIONES",851591350,1123,2016,6
12,1,1,2,0,0,144,1,99,10,1,JORNALES,126706304,1124,2016,6
12,1,1,2,0,0,145,1,99,10,1,"HONORARIOS PROFESIONALES",361644508,1125,2016,6
12,1,1,2,0,0,191,1,99,10,1,"SUBSIDIO PARA LA SALUD",4800000,1126,2016,6
12,1,1,2,0,0,210,1,99,10,1,"PAGO DE SERVICIOS BASICOS",105000000,1127,2016,6
12,1,1,2,0,0,230,1,99,10,1,"PASAJES Y VIATICOS",27026112,1128,2016,6
12,1,1,2,0,0,240,1,99,10,1,"GASTOS POR SERVICIO DE ASEO, MANTENIMIENTO Y REPARACION",60000000,1129,2016,6
12,1,1,2,0,0,250,1,99,10,1,"ALQUILERES Y DERECHOS",172684642,569,2016,6
12,1,1,2,0,0,260,1,99,10,1,"SERVICIOS TECNICOS Y PROFESIONALES",35340000,570,2016,6
12,1,1,2,0,0,280,1,99,10,1,"OTROS SERVICIO EN GENERAL",13822000,776,2016,6
12,1,1,2,0,0,330,1,99,10,1,"PRODUCTOS DE PAPEL CARTON E IMPRESOS",24180000,777,2016,6
12,1,1,2,0,0,340,1,99,10,1,"BIENES DE CONSUMO E INSUMO",20000000,778,2016,6
12,1,1,2,0,0,360,1,99,10,1,"COMBUSTIBLES Y LUBRICANTES",12830490,779,2016,6
12,1,1,2,0,0,530,1,99,10,1,"ADQUISICION DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS EN GENERAL",0,780,2016,6
12,1,1,2,0,0,540,1,99,10,1,"ADQUISICION DE EQUIPOS DE OFICINA Y COMPUTACION",0,781,2016,6
12,1,1,3,0,0,111,1,99,10,1,,1664977320,184,2016,6
12,1,1,3,0,0,113,1,99,10,1,,358650000,185,2016,6
12,1,1,3,0,0,114,1,99,10,1,,168635610,680,2016,6
12,1,1,3,0,0,123,1,99,10,1,"REMUNERACION EXTRAORDINARIA",115165850,235,2016,6
12,1,1,3,0,0,125,1,99,10,1,"REMUNERACION ADICIONAL",35430990,236,2016,6
12,1,1,3,0,0,131,1,99,10,1,"SUBSIDIO FAMILIAR",60840000,237,2016,6
12,1,1,3,0,0,133,1,99,10,1,"BONIFICACIONES Y GRATIFICACIONES",6826892552,238,2016,6
12,1,1,3,0,0,134,1,99,10,1,"APORTE JUBILATORIO DEL EMPLEADOR",15166512,239,2016,6
12,1,1,3,0,0,137,1,99,10,1,"GRATIFICACIONES POR SERVICIOS ESPECIALES",23959034996,240,2016,6
12,1,1,3,0,0,144,1,99,10,1,JORNALES,94850860,241,2016,6
12,1,1,3,0,0,191,1,99,10,1,"SUBSIDIO PARA LA SALUD",168000000,242,2016,6
12,1,1,3,0,0,210,1,99,10,1,"SERVICIOS BASICOS",280000000,243,2016,6
12,1,1,3,0,0,230,1,99,10,1,"PASAJES Y VIATICOS",33204504,244,2016,6
12,1,1,3,0,0,240,1,99,10,1,"GASTOS POR SERVICIOS DE ASEO, MANTENIMIENTO Y REPARACIONES",3700026000,245,2016,6
12,1,1,3,0,0,260,1,99,10,1,"SERVICIOS TÉCNICO Y PROFESIONALES",610000000,246,2016,6
12,1,1,3,0,0,280,1,99,10,1,"OTROS SERVICIOS EN GENERAL",179603000,247,2016,6
12,1,1,3,0,0,290,1,99,10,1,"SERVICIO DE CAPACITACION Y ADIESTRAMIENTO",208000000,314,2016,6
12,1,1,3,0,0,310,1,99,10,1,"PRODUCTOS ALIMENTICIOS",2402842400,315,2016,6
12,1,1,3,0,0,320,1,99,10,1,"TEXTILES Y VESTUARIOS",845300000,390,2016,6
12,1,1,3,0,0,330,1,99,10,1,"PRODUCTO DE PAPEL, CARTON E IMPRESOS",98980000,391,2016,6
12,1,1,3,0,0,340,1,99,10,1,"BIENES DE CONSUMO DE OFICINAS E INSUMOS",336607864,392,2016,6
12,1,1,3,0,0,350,1,99,10,1,"PRODUCTOS E INSTRUMENTOS QUIMICOS Y MEDICINALES",120001820,393,2016,6
12,1,1,3,0,0,360,1,99,10,1,"COMBUSTIBLES Y LUBRICANTES",1370426688,394,2016,6
12,1,1,3,0,0,390,1,99,10,1,"OTROS BIENES DE CONSUMOS",2001296100,395,2016,6
12,1,1,3,0,0,520,1,99,10,1,CONSTRUCCIONES,1000000000,1216,2016,6
12,1,1,3,0,0,530,1,99,10,1,"ADQUISICION DE MAQUINARIAS, EQUIPOS HERRAMIENTAS EN GENERAL",203979552,396,2016,6
12,1,1,3,0,0,540,1,99,10,1,"ADQUISICION DE EQUIPOS DE OFICINA Y COMPUTACION",145700000,397,2016,6
12,1,1,3,0,0,550,1,99,10,1,"ADQUISICION DE EQUIPOS MILITARES Y DE SEGURIDAD",4000000000,398,2016,6
12,1,1,3,0,0,910,1,99,10,1,"PAGO DE IMPUESTOS, TASAS, GASTOS JUDICIALES Y OTROS",200000000,399,2016,6
12,1,1,3,0,0,970,1,99,10,1,"GASTOS RESERVADOS",853200000,205,2016,6
12,1,1,4,0,0,111,1,99,10,1,SUELDOS,9291600000,186,2016,6
12,1,1,4,0,0,113,1,99,10,1,"GASTOS DE REPRES.",1384844640,254,2016,6
12,1,1,4,0,0,114,1,99,10,1,AGUINALDO,889703720,850,2016,6
12,1,1,4,0,0,123,1,99,10,1,"REMUNERACON EXTRAORDINARIA",117000000,880,2016,6
12,1,1,4,0,0,131,1,99,10,1,"SUBSIDIO FAMILIAR",48000000,879,2016,6
12,1,1,4,0,0,133,1,99,10,1,"BONIFICACIONES Y GRATIFICACIONES",4794800522,881,2016,6
12,1,1,4,0,0,137,1,99,10,1,"GRATIFICACION POR SERVICIOS ESPECIALES",85800000,882,2016,6
12,1,1,4,0,0,144,1,99,10,1,JORNALES,450916156,883,2016,6
12,1,1,4,0,0,145,1,99,10,1,"HONORARIOS PROFESIONALES",394400000,884,2016,6
12,1,1,4,0,0,191,1,99,10,1,"SUBSIDIO PARA LA SALUD",552000000,885,2016,6
12,1,1,4,0,0,199,1,99,10,1,"OTROS GASTOS DEL PERSONAL",823843482,886,2016,6
12,1,1,4,0,0,210,1,99,10,1,"SERVCIOS BÁSICOS",200000000,887,2016,6
12,1,1,4,0,0,220,1,99,10,1,"TRANSPORTE Y ALMACENAJE",16000000,888,2016,6
12,1,1,4,0,0,230,1,99,10,1,"PASAJES Y VIÁTICOS",123299208,889,2016,6
12,1,1,4,0,0,240,1,99,10,1,"GASTOS P/SERVICIOS DE ASEO, MANTEN. Y REPAPACIÓN",159000000,890,2016,6
12,1,1,4,0,0,250,1,99,10,1,"ALQUILERES Y DERECHOS",1440000000,891,2016,6
12,1,1,4,0,0,260,1,99,10,1,"SERVICIOS TÉCNICOS Y PROFESIONALES",179857900,892,2016,6
12,1,1,4,0,0,280,1,99,10,1,"OTROS SERVICIOS GENERALES",28420800,893,2016,6
12,1,1,4,0,0,290,1,99,10,1,"SERV. DE CAPACITACION Y ADIESTRAMENTO",400000000,894,2016,6
12,1,1,4,0,0,320,1,99,10,1,"TEXTILES Y VESTUARIOS",99088000,895,2016,6
12,1,1,4,0,0,330,1,99,10,1,"PRODUCTOS DE PAPEL, CARTON E IMPRESOS",162792000,896,2016,6
12,1,1,4,0,0,340,1,99,10,1,"BIENES DE CONSUMO DE OFICINAS E UTILES",279496576,897,2016,6
12,1,1,4,0,0,350,1,99,10,1,"PRODUCTOS E INSTRUMENTOS QUIMICOS Y MEDICINALES",5938000,898,2016,6
12,1,1,4,0,0,360,1,99,10,1,"COMBUSTIBLES Y LUBRICANTES",82667376,899,2016,6
12,1,1,4,0,0,390,1,99,10,1,"OTROS BIENES DE CONSUMO",12315000,900,2016,6
12,1,1,4,0,0,530,1,99,10,1,"ADQUISICIONES DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS EN GENERAL",0,901,2016,6
12,1,1,4,0,0,540,1,99,10,1,"ADQUISICION DE EQUIPOS DE OFICINA Y COMPUTACION",0,902,2016,6
12,1,1,4,0,0,910,1,99,10,1,"PAGO DE IMPUESTOS, TASAS Y GASTOS JUDICIALES",413573800,904,2016,6
12,1,1,5,0,0,111,1,99,10,1,,1279200000,255,2016,6
12,1,1,5,0,0,113,1,99,10,1,,244695600,256,2016,6
12,1,1,5,0,0,114,1,99,10,1,,126991300,851,2016,6
12,1,1,5,0,0,133,1,99,10,1,"BONIF Y GRATIF PARA EL PERSONAL POR RESPONSABILIDAD EN EL CARGO",298032000,266,2016,6
12,1,1,5,0,0,145,1,99,10,1,"HONORARIOS PROFESIONALES PARA EL PAGO DE FUNCIONARIOS CONTRATADOS",362378400,267,2016,6
12,1,1,5,0,0,199,1,99,10,1,"PARA EL PAGO AL PERSONAL QUE NO SE ADECUO SU MATRIZ SALARIAL",100000000,268,2016,6
12,1,1,5,0,0,210,1,99,10,1,"PARA EL PAGO DE SERVICIOS PUBLICOS ANDE, COPACO Y ESSAP",32793000,269,2016,6
12,1,1,5,0,0,230,1,99,10,1,"PARA EL PAGO DE PASAJES Y VIATICOS AL PERSONAL QUE CUMPLEN FUNCIONES EN EL INTERIOR DEL PAIS Y PARA VIAJES DEL SEÑOR MINISTRO AL EXTERIOR",240000000,270,2016,6
12,1,1,5,0,0,260,1,99,10,1,"PARAEL PAGO  DE SEGURO MEDICO PARA EL PERSONAL NOMBRADO Y COMISIONADO EN LA INSTITUCION Y PAGO DE SEGURO DE CAMIONETA INSTITCIONAL",0,271,2016,6
12,1,1,5,0,0,280,1,99,10,1,"PARA EL PAGO DE LA CONTRATACION DE CATERING PARA LA INSTITUCION",16000000,272,2016,6
12,1,1,5,0,0,330,1,99,10,1,"PARA LA COMPRA DE PRODUCTOS DE PAPEL CARTON E IMPRESOS PARA LA INSTITUCION",20000000,274,2016,6
12,1,1,5,0,0,340,1,99,10,1,"PARA LA COMPRA DE BIENES DE CONSUMO DE OFICINA E INSUMOS PARA LA INSTITUCION",20000000,273,2016,6
12,1,1,5,0,0,360,1,99,10,1,"PARA LA COMPRA DE COMBUSTIBLES Y LUBRICANTES PARA LOS AUTOMOTERES DE LA INSTITUCION",112132064,275,2016,6
12,1,1,5,0,0,530,1,99,10,1,"PARA LA COMPRA DE UN CENTRAL TELEFONICA PARA LA INSTITUCION",0,276,2016,6
12,1,1,5,0,0,540,1,99,10,1,"PARA LA COMRA DE EQUIPO DE FILMADORA, RELOJ MARCADOR PARA LA INSTITUCION",0,328,2016,6
12,1,1,5,0,0,970,1,99,10,1,"PARA  USO IMPRESVISTOS DEL SEÑOR MINISTRO SECRETARIO PERMANENTE",151612190,329,2016,6
12,1,1,6,0,0,111,1,99,30,1,,0,258,2016,6
12,1,1,6,0,0,111,1,99,10,1,,1880400000,257,2016,6
12,1,1,6,0,0,113,1,99,10,1,,47264400,259,2016,6
12,1,1,6,0,0,114,1,99,30,1,,0,853,2016,6
12,1,1,6,0,0,114,1,99,10,1,,160638700,852,2016,6
12,1,1,6,0,0,133,1,99,10,1,"MONTO ASIGNADO PARA PAGO DE REMUNERACION COMPLEMENTARIA AL PERSONAL DE LA INSTITUCION",391512896,945,2016,6
12,1,1,6,0,0,137,1,99,10,1,"RUBRO DESTINADO AL PAGO DE GRATIFICACION ESPECIAL AL PERSONAL DE SEGURIDAD ASIGNADO A LA INSTITUCION",136500000,946,2016,6
12,1,1,6,0,0,144,1,99,10,1,"ASIGNACION PROGRAMADA PARA EL PAGO DE SUELDOS AL PERSONAL CONTRATADO",144300000,947,2016,6
12,1,1,6,0,0,145,1,99,10,1,"RUBRO ASIGNADO PARA EL PAGO DE SUELDOS AL PERSONAL PROFESIONAL CONTRATADO EN SERVICIO EN LA INSTITUCION",143000000,948,2016,6
12,1,1,6,0,0,191,1,99,10,1,"RUBRO ASIGNADO PARA EL PAGO DEL SUBSIDIO PARA LA SALUD AL PERSONAL PERMANENTE",139200000,949,2016,6
12,1,1,6,0,0,199,1,99,10,1,"RUBRO PROGRAMADO PARA OTROS GASTOS DEL PERSONAL DENTRO DE LA ENTIDAD",358481714,950,2016,6
12,1,1,6,0,0,210,1,99,10,1,"ASIGNACION PROGRAMADA PARA EL PAGO DE LOS SERVICIOS BASICOS DE LA ENTIDAD DE IMPORTANCIA PARA SU FUNCIONALIDAD",82000000,951,2016,6
12,1,1,6,0,0,230,1,99,10,1,"ASIGNACION PROGRAMADA PARA LOS GASTOS DE TRASLADOS Y VIATICOS A FUNCIONARIOS ASIGNADOS POR RESOLUCION PARA DAR CUMPLIMIENTOS A TAREAS FUERA DE LA INSTITUCION.",10994918,699,2016,6
12,1,1,6,0,0,240,1,99,10,1,"RUBRO PROGRAMADO PARA LOS GASTOS DE MANTENIMIENTOS Y REPARACIONES MENORES DE MAQUINAS, EQUIPOS Y OTROS ELEMENTOS SUJETO A LA FUNCIONALIDAD INSTITUCIONAL",89740000,473,2016,6
12,1,1,6,0,0,260,1,99,10,1,"RUBRO PROGRAMADO PARA LOS GASTOS COMPRENDIDO DENTRO DEL PARAMETRO PRESUPUESTARIO AFECTADO EN ESTE NIVEL.",40000000,725,2016,6
12,1,1,6,0,0,280,1,99,10,1,"RUBRO PROGRAMADO PARA LOS GASTOS INHERENTES A LA MISMA PARA SU FUNCIONALIDAD",60000000,726,2016,6
12,1,1,6,0,0,290,1,99,10,1,"RUBRO PROGRAMADO PARA FOMENTAR LA CAPACITACION Y EL ADIESTRAMIENTO DE LOS FUNCIONARIOS DE LA INSTITUCION",90000000,727,2016,6
12,1,1,6,0,0,320,1,99,10,1,"ASIGNACION PRESUPUESTARIA DESTINADA A LA ADQUISICION DE ARTICULOS COMPRENDIDOS DENTRO DEL RUBRO PROGRAMADO.",50000000,728,2016,6
12,1,1,6,0,0,330,1,99,10,1,"RUBRO PROGRAMADO PARA LA ADQUISICION DE PRODUCTOS Y UTILES DE USO INSTITUCIONAL Y NECESARIO PARA SU FUNCIONALIDAD",100000000,729,2016,6
12,1,1,6,0,0,340,1,99,10,1,"ASIGNACION PROGRAMADA PARA LA COMPRAS DE INSUMOS DE OFICINA Y OTROS DE USO DIARIOS",100000000,730,2016,6
12,1,1,6,0,0,360,1,99,10,1,"RUBRO DESTINADO PARA LA COMPRA DE COMBUSTIBLES UTILIZADO EN LOS MOVILES DE LA ENTIDAD",189980640,731,2016,6
12,1,1,6,0,0,390,1,99,10,1,"PROGRAMACION PARA GASTOS DE OTROS BIENES DE CONSUMOS",17676860,732,2016,6
12,1,1,6,0,0,530,1,99,10,1,"RUBRO PROGRAMADO PARA LA ADQUISICION DE MAQUINAS, EQUIPOS Y HERRAMIENTAS",0,734,2016,6
12,1,1,6,0,0,540,1,99,10,1,"RUBRO PROGRAMADO PARA LA ASQUISICION DE EQUIPOS Y COMPONENTES INFORMATICOS DE USO DIARIOS Y FUNDAMENTAL DE LA INSTITUCION",0,733,2016,6
12,1,1,6,0,0,570,1,99,10,1,"RUBRO ASIGNADO PARA LA ADQUISICION DE PROGRAMAS DE PROTECCION DE LOS SISTEMAS INFORMATICOS (ANTIBIRUS)",0,735,2016,6
12,1,1,6,0,0,910,1,99,10,1,"RUBRO PROGRAMADO PARA LOS GASTOS DE IMPUESTOS, TASAS, GASTOS DE CARACTER JUDICIAL Y OTROS",43281358,736,2016,6
12,1,2,1,1,0,111,1,99,10,1,,2990400000,260,2016,6
12,1,2,1,1,0,113,1,99,10,1,,149299200,261,2016,6
12,1,2,1,1,0,114,1,99,10,1,,261641600,854,2016,6
12,1,2,1,1,0,123,1,99,10,1,"REMUNERACION EXTRAORDINARIA",66500000,350,2016,6
12,1,2,1,1,0,125,1,99,10,1,"REMUNERACION ADICIONAL",49400000,351,2016,6
12,1,2,1,1,0,131,1,99,10,1,"SUBSIDIO FAMILIAR",43956636,352,2016,6
12,1,2,1,1,0,133,1,99,10,1,"BONIFICACIONES Y GRATIFICACIONES",1350476836,353,2016,6
12,1,2,1,1,0,137,1,99,10,1,"GRATIFICACION POR SERVICIOS ESPECIALES",106617548,354,2016,6
12,1,2,1,1,0,144,1,99,10,1,JORNALES,8738880330,925,2016,6
12,1,2,1,1,0,145,1,99,10,1,"HONORARIOS PROFESIONALES",2669871366,816,2016,6
12,1,2,1,1,0,199,1,99,10,1,"OTROS GASTOS DEL PERSONAL",800000000,814,2016,6
12,1,2,1,1,0,210,1,99,10,1,"Servicios basicos",579600000,206,2016,6
12,1,2,1,1,0,230,1,99,10,1,"PASAJES Y VIATICOS",3552200902,641,2016,6
12,1,2,1,1,0,240,1,99,10,1,"Mantenimiento y reparaciones menores",4774109000,873,2016,6
12,1,2,1,1,0,250,1,99,10,1,"ALQUILER DE DEPOSITO Y ESTACIONAMIENTO",372000000,926,2016,6
12,1,2,1,1,0,260,1,99,10,1,"SERVICIOS TECNICOS Y PROFESIONALES",1652836096,927,2016,6
12,1,2,1,1,0,280,1,99,10,1,"OTROS SERVICIOS EN GENERAL",93167500,943,2016,6
12,1,2,1,1,0,290,1,99,10,1,CAPACITACION,300000000,628,2016,6
12,1,2,1,1,0,310,1,99,10,1,"Adquisicion de productos alimenticios",947467680,700,2016,6
12,1,2,1,1,0,320,1,99,10,1,"ADQUISICION DE TEXTILES Y VESTUARIOS",0,701,2016,6
12,1,2,1,1,0,330,1,99,10,1,"Adquisicion de papel, carton e impresos.",300208440,924,2016,6
12,1,2,1,1,0,340,1,99,10,1,"Adquisicion de Bienes de Oficina eInsumos",346743114,1157,2016,6
12,1,2,1,1,0,350,1,99,10,1,"Productos e Instrumentales quimicos y med",201480600,582,2016,6
12,1,2,1,1,0,360,1,99,10,1,"combustibles y lubricantes",2330200000,1215,2016,6
12,1,2,1,1,0,390,1,99,10,1,"otros bienes de consumo",722640400,738,2016,6
12,1,2,1,1,0,530,1,99,10,1,"ADQUISICION DE MAQUINARIAS, EQUIPOS, HERRAMIENTAS EN GRAL",0,1097,2016,6
12,1,2,1,1,0,540,1,99,10,1,"ADQUISICION DE EQUIPOS DE OFICINA Y COMPUTACION",0,1098,2016,6
12,1,2,1,1,0,831,1,99,30,302,"AP. ENT. CON F. SOC.",16800000000,1100,2016,6
12,1,2,1,1,0,831,1,99,30,30,"AP. ENT. CON F. SOC.",80000000000,1101,2016,6
12,1,2,1,1,0,841,1,99,10,1,"BECAS DE ESTUDIO PARA FUNCIONARIOS",300000000,903,2016,6
12,1,2,1,1,0,846,1,99,10,1," TRANSFERENCIA PARA SEGURO MEDICO  DEL CBCP",601970904,627,2016,6
12,1,2,1,1,0,881,1,99,30,604,"T. CAP. AL SCTOR EXTERNO (DEVOLUCION AECID)",272444746,642,2016,6
12,1,2,1,1,0,910,1,99,10,1,"IMPUESTOS, TASAS, GASTOS JUDICIALES Y OTROS",40000000,1099,2016,6
12,1,2,1,2,0,111,1,99,10,1,"PARA PAGOS DE SUELDOS A FUNCIONARIOS PERMANENTES DE LA INSTITUCION",4570177320,262,2016,6
12,1,2,1,2,0,113,1,99,10,1,"PARA PAGOS EN CONCEPTO DE GASTOS DE REPRESENTACION A FUNCIONARIOS PERMANENTES Y COMISIONADOS QUE EJERZAN CARGOS DE CONFIANZA DESIGNADAS POR LA MAXIMA AUTORIDAD.",346682352,263,2016,6
12,1,2,1,2,0,114,1,99,10,1,"PARA PAGOS EN CONCEPTO DE AGUINALDOS A FUNCIONARIOS PERMANENTES.",409738306,855,2016,6
12,1,2,1,2,0,123,1,99,10,1,"Para pagos en concepto de Remuneraciones Extraordinarias a funcionarios permanentes y comisionados que realizan tareas fuera del horario laboral.",199200000,594,2016,6
12,1,2,1,2,0,125,1,99,10,1,"Para pagos en concepto de Remuneraciones Adicionales a funcionarios permanentes y comisionados que realizan tareas fuera del horario laboral.",200400000,595,2016,6
12,1,2,1,2,0,133,1,99,10,1,"Para pagos en concepto de gratificaciones y bonificaciones a funcionarios permanentes y comisionados que ocupan cargos de confianza en las distintas dependencias designadas por la Maxima Autoridad.",844424600,596,2016,6
12,1,2,1,2,0,137,1,99,10,1,"Para pagos en concepto de gratificaciones por servicios especiales a comisionados que realizan trabajos de seguridad en la Institucion.",39000000,597,2016,6
12,1,2,1,2,0,141,1,99,10,1,"Para la contratacion de personal tecnico especializados en temas de niñez y adolescencia, Jefes de Dpto, Responsables Distritales, Apoyo Familiar, Trabajadores Sociales, Educadores, Auxiliares Tecnicos y Administrativos.",10010877000,471,2016,6
